id,REGION,Country,Latest_ICA_Completed,Methodology latest ICA,Previous_ICA,Methodology old ICA,fillKey,Current Status
PHL,RBB,Philippines,2014,M1,-,-,ICA_LEGEND,
AFG,RBB,Afghanistan,2015,M2,2013,M1,ICA_LEGEND,
PAK,RBB,Pakistan,2017,M3,-,-,ICA_LEGEND,
SDN,RBC,Sudan,2018,M3,-,-,ICA_LEGEND,ongoing
TJK,RBC,Tajikistan,2015,M2,-,-,ICA_LEGEND,
KGZ,RBC,Kyrgyzstan,2017,M2,-,-,ICA_LEGEND,
BFA,RBD,Burkina Faso,2017,M3,2015,M2,ICA_LEGEND,
CAF,RBD,Central Afr. Republic,2017,M3,-,-,ICA_LEGEND,
TCD,RBD,Chad,2017,M3,2015,M2,ICA_LEGEND,
GMB,RBD,Gambia,2018,M3,-,-,ICA_LEGEND,ongoing
GHA,RBD,Ghana,2018,M3,-,-,ICA_LEGEND,ongoing
GIN,RBD,Guinea,2018,M3,-,-,ICA_LEGEND,ongoing
LBR,RBD,Liberia,2018,M3,-,-,ICA_LEGEND,ongoing
MLI,RBD,Mali,2017,M3,2014,M1,ICA_LEGEND,
MRT,RBD,Mauritania,2017,M3,2015,M2,ICA_LEGEND,
NER,RBD,Niger,2017,M3,2015,M2,ICA_LEGEND,
SEN,RBD,Senegal,2017,M3,2015,M2,ICA_LEGEND,
SLE,RBD,Sierra Leone,2017,M3,2014,M2,ICA_LEGEND,
COD,RBJ,Dem. Republic of Congo,2017,M3,-,-,ICA_LEGEND,
MWI,RBJ,Malawi,2014,M2,-,-,ICA_LEGEND,
MOZ,RBJ,Mozambique,2017,M3,2015,M2,ICA_LEGEND,
ZWE,RBJ,Zimbabwe,2015,M2,-,-,ICA_LEGEND,
BDI,RBN,Burundi,2015,M2,-,-,ICA_LEGEND,
LSO,RBN,Lesotho,2015,M2,-,-,ICA_LEGEND,
SSD,RBN,South Sudan,2016,M2,-,-,ICA_LEGEND,
TZA,RBN,Tanzania,2015,M2,-,-,ICA_LEGEND,
BOL,RBP,Bolivia,2018,M3,-,-,ICA_LEGEND,ongoing
DOM,RBP,Dominican Republic,2017,M3,-,-,ICA_LEGEND,
HTI,RBP,Haiti,2017,M3,-,-,ICA_LEGEND,
HND,RBP,Honduras,2017,M3,-,-,ICA_LEGEND,
ARM,,Armenia,,,-,-,ICA_LEGEND,
KEN,,Kenya,,,-,-,ICA_LEGEND,
GTM,,Guatemala,,,-,-,ICA_LEGEND,
SLV,,El Salvador,,,-,-,ICA_LEGEND,
