id,region,country,latest_ica_completed,methodology_latest_ica,previous_ica,methodology_old_ica,fillKey,current_status,ica_years
PHL,RBB,Philippines,2014,M1,-,-,ongoing,,2014
AFG,RBB,Afghanistan,2015,M2,2013,M1,complete,,"20,132,016"
PAK,RBB,Pakistan,2017,M3,-,-,ongoing,,2017
KGZ,RBC,Kyrgyzstan,2017,M2,-,-,complete,,
BFA,RBD,Burkina Faso,2017,M3,2015,M2,complete,,
TCD,RBD,Chad,2017,M3,2015,M2,complete,,
MLI,RBD,Mali,2017,M3,2014,M1,complete,,
MRT,RBD,Mauritania,2017,M3,2015,M2,complete,,
SEN,RBD,Senegal,2017,M3,2015,M2,complete,,"20,152,017"
COD,RBJ,Dem. Republic of Congo,2017,M3,-,-,ongoing,,
MWI,RBJ,Malawi,2014,M2,-,-,ongoing,,
MOZ,RBJ,Mozambique,2017,M3,2015,M2,ongoing,,
ZWE,RBJ,Zimbabwe,2015,M2,-,-,ongoing,,
BDI,RBN,Burundi,2015,M2,-,-,ongoing,,
LSO,RBN,Lesotho,2015,M2,-,-,ongoing,,
SSD,RBN,South Sudan,2016,M2,-,-,ongoing,,"20,132,016"
DOM,RBP,Dominican Republic,2017,M3,-,-,complete,,
HTI,RBP,Haiti,2017,M3,-,-,complete,,
HND,RBP,Honduras,2017,M3,-,-,complete,,
ARM,,Armenia,2017,,-,-,complete,,"20,162,017"
KEN,,Kenya,,,-,-,complete,,
GTM,,Guatemala,,,-,-,complete,,
SLV,,El Salvador,,,-,-,complete,,
